name,nationality,position,division,opponent,match_date,phase,sets_won,sets_played,points_scored,attack_kills,attack_faults,attack_shots,attack_total,block_kills,block_faults,block_rebounds,block_total,serve_aces,serve_errors,serve_attempts,serve_total,rec_excellents,rec_faults,rec_attempts,rec_total,dig_excellents,dig_faults,dig_attempts,dig_total,set_excellents,set_faults,set_stills,set_total
Matias SANCHEZ,Argentina,Setter,Men,United States,2022-07-10,Pool,2,5,0,0,0,0,0,0,0,0,0,0,1,3,4,0,0,0,0,0,0,0,0,2,0,1,3
Joaquin GALLEGO,Argentina,Middle Blocker,Men,United States,2022-07-10,Pool,2,5,11,8,0,4,12,3,7,4,14,0,1,12,13,1,1,2,4,1,2,2,5,0,0,2,2
Agustin LOSER,Argentina,Middle Blocker,Men,United States,2022-07-10,Pool,2,5,11,9,3,7,19,2,7,3,12,0,3,16,19,0,0,1,1,4,1,3,8,0,0,0,0
Santiago DANANI,Argentina,Libero,Men,United States,2022-07-10,Pool,2,5,0,0,0,0,0,0,0,0,0,0,0,0,0,11,1,9,21,12,4,2,18,0,0,6,6
Nicolás LAZO,Argentina,Outside Hitter,Men,United States,2022-07-10,Pool,2,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Manuel ARMOA,Argentina,Outside Hitter,Men,United States,2022-07-10,Pool,2,5,4,4,2,4,10,0,1,0,1,0,1,2,3,4,0,5,9,1,1,1,3,0,0,2,2
Bruno LIMA,Argentina,Opposite Spiker,Men,United States,2022-07-10,Pool,2,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ezequiel PALACIOS,Argentina,Outside Hitter,Men,United States,2022-07-10,Pool,2,5,16,16,6,14,36,0,6,2,8,0,5,11,16,3,0,16,19,4,4,2,10,1,0,2,3
Luciano DE CECCO,Argentina,Setter,Men,United States,2022-07-10,Pool,2,5,3,0,1,2,3,2,5,5,12,1,3,19,23,0,0,0,0,3,0,2,5,55,1,53,109
Luciano PALONSKY,Argentina,Outside Hitter,Men,United States,2022-07-10,Pool,2,5,24,24,3,10,37,0,4,2,6,0,5,9,14,2,0,7,9,6,3,1,10,0,0,1,1
Luciano VICENTIN,Argentina,Outside Hitter,Men,United States,2022-07-10,Pool,2,5,6,5,3,8,16,0,1,0,1,1,5,7,13,8,1,20,29,4,2,0,6,0,0,4,4
Martin RAMOS,Argentina,Middle Blocker,Men,United States,2022-07-10,Pool,2,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0
Franco MASSIMINO,Argentina,Libero,Men,United States,2022-07-10,Pool,2,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Nicolas ZERBA,Argentina,Middle Blocker,Men,United States,2022-07-10,Pool,2,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Matias SANCHEZ,Argentina,Setter,Men,France,2022-07-09,Pool,3,4,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,0,0,1,0,1,2
Joaquin GALLEGO,Argentina,Middle Blocker,Men,France,2022-07-09,Pool,3,4,6,5,1,4,10,1,2,4,7,0,2,5,7,0,0,1,1,2,0,1,3,0,0,1,1
Agustin LOSER,Argentina,Middle Blocker,Men,France,2022-07-09,Pool,3,4,12,10,0,3,13,1,6,5,12,1,5,10,16,1,0,1,2,1,1,0,2,0,0,4,4
Santiago DANANI,Argentina,Libero,Men,France,2022-07-09,Pool,3,4,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,13,16,8,6,3,17,0,0,8,8
Nicolás LAZO,Argentina,Outside Hitter,Men,France,2022-07-09,Pool,3,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Manuel ARMOA,Argentina,Outside Hitter,Men,France,2022-07-09,Pool,3,4,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2
Bruno LIMA,Argentina,Opposite Spiker,Men,France,2022-07-09,Pool,3,4,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
Ezequiel PALACIOS,Argentina,Outside Hitter,Men,France,2022-07-09,Pool,3,4,17,15,3,11,29,1,3,9,13,1,6,8,15,3,2,15,20,10,2,4,16,0,0,2,2
Luciano DE CECCO,Argentina,Setter,Men,France,2022-07-09,Pool,3,4,2,2,1,1,4,0,2,2,4,0,3,9,12,0,0,0,0,4,3,2,9,28,0,60,88
Luciano PALONSKY,Argentina,Outside Hitter,Men,France,2022-07-09,Pool,3,4,14,12,2,11,25,1,1,1,3,1,3,10,14,0,0,1,1,10,2,0,12,0,0,1,1
Luciano VICENTIN,Argentina,Outside Hitter,Men,France,2022-07-09,Pool,3,4,17,15,5,11,31,0,4,5,9,2,6,12,20,6,1,21,28,8,1,2,11,0,1,5,6
Martin RAMOS,Argentina,Middle Blocker,Men,France,2022-07-09,Pool,3,4,3,3,0,1,4,0,1,0,1,0,0,9,9,0,0,0,0,1,0,1,2,0,0,1,1
Franco MASSIMINO,Argentina,Libero,Men,France,2022-07-09,Pool,3,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0
Nicolas ZERBA,Argentina,Middle Blocker,Men,France,2022-07-09,Pool,3,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Matias SANCHEZ,Argentina,Setter,Men,Australia,2022-07-08,Pool,3,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Joaquin GALLEGO,Argentina,Middle Blocker,Men,Australia,2022-07-08,Pool,3,4,15,10,0,7,17,5,3,5,13,0,1,16,17,0,0,0,0,1,2,0,3,0,0,0,0
Agustin LOSER,Argentina,Middle Blocker,Men,Australia,2022-07-08,Pool,3,4,7,5,2,1,8,2,2,2,6,0,2,4,6,0,0,0,0,2,0,0,2,0,0,0,0
Santiago DANANI,Argentina,Libero,Men,Australia,2022-07-08,Pool,3,4,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,2,15,10,1,1,12,0,0,6,6
Nicolás LAZO,Argentina,Outside Hitter,Men,Australia,2022-07-08,Pool,3,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Manuel ARMOA,Argentina,Outside Hitter,Men,Australia,2022-07-08,Pool,3,4,2,2,3,4,9,0,0,0,0,0,0,3,3,3,0,5,8,1,0,1,2,0,0,0,0
Bruno LIMA,Argentina,Opposite Spiker,Men,Australia,2022-07-08,Pool,3,4,19,16,5,3,24,0,6,3,9,3,3,10,16,0,0,0,0,6,5,1,12,1,0,0,1
Ezequiel PALACIOS,Argentina,Outside Hitter,Men,Australia,2022-07-08,Pool,3,4,12,10,3,3,16,1,2,0,3,1,3,8,12,7,2,15,24,6,2,4,12,0,0,1,1
Luciano DE CECCO,Argentina,Setter,Men,Australia,2022-07-08,Pool,3,4,3,0,0,1,1,0,3,2,5,3,1,12,16,0,0,1,1,3,5,3,11,46,0,42,88
Luciano PALONSKY,Argentina,Outside Hitter,Men,Australia,2022-07-08,Pool,3,4,1,1,2,2,5,0,0,0,0,0,1,2,3,2,1,4,7,0,1,0,1,0,0,0,0
Luciano VICENTIN,Argentina,Outside Hitter,Men,Australia,2022-07-08,Pool,3,4,8,7,4,4,15,1,0,0,1,0,2,11,13,8,0,5,13,5,0,1,6,0,0,2,2
Martin RAMOS,Argentina,Middle Blocker,Men,Australia,2022-07-08,Pool,3,4,7,3,0,4,7,3,1,3,7,1,1,7,9,0,0,0,0,0,1,0,1,1,0,1,2
Franco MASSIMINO,Argentina,Libero,Men,Australia,2022-07-08,Pool,3,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Nicolas ZERBA,Argentina,Middle Blocker,Men,Australia,2022-07-08,Pool,3,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Matias SANCHEZ,Argentina,Setter,Men,Canada,2022-07-05,Pool,3,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,7
Joaquin GALLEGO,Argentina,Middle Blocker,Men,Canada,2022-07-05,Pool,3,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Agustin LOSER,Argentina,Middle Blocker,Men,Canada,2022-07-05,Pool,3,4,12,11,2,6,19,1,4,1,6,0,4,14,18,1,0,1,2,0,0,1,1,0,1,0,1
Santiago DANANI,Argentina,Libero,Men,Canada,2022-07-05,Pool,3,4,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,6,13,5,7,2,14,0,0,3,3
Nicolás LAZO,Argentina,Outside Hitter,Men,Canada,2022-07-05,Pool,3,4,0,0,0,0,0,0,0,0,0,0,1,1,2,0,0,0,0,0,0,0,0,0,0,0,0
Manuel ARMOA,Argentina,Outside Hitter,Men,Canada,2022-07-05,Pool,3,4,1,1,1,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bruno LIMA,Argentina,Opposite Spiker,Men,Canada,2022-07-05,Pool,3,4,3,2,5,2,9,1,1,0,2,0,3,4,7,0,0,0,0,2,0,0,2,0,0,0,0
Ezequiel PALACIOS,Argentina,Outside Hitter,Men,Canada,2022-07-05,Pool,3,4,18,15,1,15,31,2,3,8,13,1,5,7,13,5,1,26,32,7,2,0,9,0,0,2,2
Luciano DE CECCO,Argentina,Setter,Men,Canada,2022-07-05,Pool,3,4,2,0,0,0,0,1,2,3,6,1,4,14,19,0,0,0,0,5,0,0,5,28,0,63,91
Luciano PALONSKY,Argentina,Outside Hitter,Men,Canada,2022-07-05,Pool,3,4,13,13,2,11,26,0,2,2,4,0,1,12,13,3,1,7,11,6,1,2,9,0,0,2,2
Luciano VICENTIN,Argentina,Outside Hitter,Men,Canada,2022-07-05,Pool,3,4,2,2,1,4,7,0,0,1,1,0,1,7,8,4,1,7,12,5,1,0,6,0,0,2,2
Martin RAMOS,Argentina,Middle Blocker,Men,Canada,2022-07-05,Pool,3,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Franco MASSIMINO,Argentina,Libero,Men,Canada,2022-07-05,Pool,3,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Nicolas ZERBA,Argentina,Middle Blocker,Men,Canada,2022-07-05,Pool,3,4,10,6,1,5,12,2,9,8,19,2,1,14,17,0,0,0,0,1,0,2,3,0,0,1,1
Matias SANCHEZ,Argentina,Setter,Men,Netherlands,2022-06-25,Pool,2,5,1,1,0,1,2,0,3,7,10,0,1,14,15,0,1,1,2,4,7,4,15,35,0,59,94
Joaquin GALLEGO,Argentina,Middle Blocker,Men,Netherlands,2022-06-25,Pool,2,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Agustin LOSER,Argentina,Middle Blocker,Men,Netherlands,2022-06-25,Pool,2,5,16,10,1,4,15,6,7,6,19,0,4,10,14,1,0,5,6,1,1,0,2,0,0,1,1
Santiago DANANI,Argentina,Libero,Men,Netherlands,2022-06-25,Pool,2,5,0,0,0,0,0,0,0,0,0,0,0,0,0,8,2,6,16,12,7,0,19,0,0,3,3
Nicolás LAZO,Argentina,Outside Hitter,Men,Netherlands,2022-06-25,Pool,2,5,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,1,0,0,1,0,0,0,0
Manuel ARMOA,Argentina,Outside Hitter,Men,Netherlands,2022-06-25,Pool,2,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bruno LIMA,Argentina,Opposite Spiker,Men,Netherlands,2022-06-25,Pool,2,5,21,19,3,9,31,1,7,2,10,1,6,12,19,0,1,0,1,6,2,1,9,0,0,0,0
Ezequiel PALACIOS,Argentina,Outside Hitter,Men,Netherlands,2022-06-25,Pool,2,5,19,15,2,10,27,1,2,5,8,3,5,11,19,11,2,13,26,2,4,0,6,0,0,3,3
Luciano PALONSKY,Argentina,Outside Hitter,Men,Netherlands,2022-06-25,Pool,2,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Luciano VICENTIN,Argentina,Outside Hitter,Men,Netherlands,2022-06-25,Pool,2,5,14,11,7,7,25,3,7,3,13,0,2,15,17,8,2,24,34,5,2,2,9,0,0,1,1
Martin RAMOS,Argentina,Middle Blocker,Men,Netherlands,2022-06-25,Pool,2,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Franco MASSIMINO,Argentina,Libero,Men,Netherlands,2022-06-25,Pool,2,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Nicolas ZERBA,Argentina,Middle Blocker,Men,Netherlands,2022-06-25,Pool,2,5,6,6,1,3,10,0,3,6,9,0,0,19,19,0,0,0,0,2,1,1,4,1,0,0,1
Matias GIRAUDO,Argentina,Setter,Men,Netherlands,2022-06-25,Pool,2,5,0,0,1,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,4,4
Matias SANCHEZ,Argentina,Setter,Men,China,2022-06-24,Pool,3,4,1,1,0,0,1,0,1,1,2,0,0,17,17,0,0,0,0,6,1,1,8,36,0,41,77
Joaquin GALLEGO,Argentina,Middle Blocker,Men,China,2022-06-24,Pool,3,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Agustin LOSER,Argentina,Middle Blocker,Men,China,2022-06-24,Pool,3,4,13,12,1,5,18,1,8,3,12,0,4,13,17,1,0,0,1,2,0,1,3,0,0,2,2
Santiago DANANI,Argentina,Libero,Men,China,2022-06-24,Pool,3,4,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,12,24,11,3,1,15,1,0,9,10
Nicolás LAZO,Argentina,Outside Hitter,Men,China,2022-06-24,Pool,3,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Manuel ARMOA,Argentina,Outside Hitter,Men,China,2022-06-24,Pool,3,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bruno LIMA,Argentina,Opposite Spiker,Men,China,2022-06-24,Pool,3,4,25,20,1,8,29,3,3,2,8,2,4,15,21,0,0,0,0,5,5,0,10,0,1,0,1
Ezequiel PALACIOS,Argentina,Outside Hitter,Men,China,2022-06-24,Pool,3,4,13,12,2,8,22,0,5,1,6,1,5,8,14,8,1,28,37,6,1,2,9,0,0,2,2
Luciano PALONSKY,Argentina,Outside Hitter,Men,China,2022-06-24,Pool,3,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Luciano VICENTIN,Argentina,Outside Hitter,Men,China,2022-06-24,Pool,3,4,11,10,6,5,21,1,3,2,6,0,5,10,15,3,1,8,12,4,4,1,9,0,0,2,2
Martin RAMOS,Argentina,Middle Blocker,Men,China,2022-06-24,Pool,3,4,5,4,2,1,7,1,5,7,13,0,3,6,9,0,0,0,0,0,1,2,3,0,0,0,0
Franco MASSIMINO,Argentina,Libero,Men,China,2022-06-24,Pool,3,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Nicolas ZERBA,Argentina,Middle Blocker,Men,China,2022-06-24,Pool,3,4,1,1,1,2,4,0,0,2,2,0,0,3,3,0,0,0,0,1,0,0,1,0,0,0,0
Matias GIRAUDO,Argentina,Setter,Men,China,2022-06-24,Pool,3,4,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,7
Matias SANCHEZ,Argentina,Setter,Men,Slovenia,2022-06-23,Pool,1,4,2,1,1,0,2,1,1,1,3,0,2,6,8,0,0,0,0,7,2,0,9,25,0,42,67
Joaquin GALLEGO,Argentina,Middle Blocker,Men,Slovenia,2022-06-23,Pool,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Agustin LOSER,Argentina,Middle Blocker,Men,Slovenia,2022-06-23,Pool,1,4,12,6,2,7,15,5,5,4,14,1,4,9,14,2,0,0,2,3,0,1,4,0,0,1,1
Santiago DANANI,Argentina,Libero,Men,Slovenia,2022-06-23,Pool,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,7,1,8,16,12,10,1,23,1,1,7,9
Nicolás LAZO,Argentina,Outside Hitter,Men,Slovenia,2022-06-23,Pool,1,4,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
Manuel ARMOA,Argentina,Outside Hitter,Men,Slovenia,2022-06-23,Pool,1,4,3,2,3,3,8,1,0,1,2,0,0,4,4,1,1,4,6,2,1,0,3,0,0,0,0
Bruno LIMA,Argentina,Opposite Spiker,Men,Slovenia,2022-06-23,Pool,1,4,12,11,5,13,29,0,2,2,4,1,5,7,13,2,0,3,5,6,0,1,7,0,0,0,0
Ezequiel PALACIOS,Argentina,Outside Hitter,Men,Slovenia,2022-06-23,Pool,1,4,12,11,3,10,24,1,4,4,9,0,4,10,14,9,3,16,28,6,3,1,10,0,0,3,3
Luciano PALONSKY,Argentina,Outside Hitter,Men,Slovenia,2022-06-23,Pool,1,4,0,0,1,2,3,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,1,0,0,0,0
Luciano VICENTIN,Argentina,Outside Hitter,Men,Slovenia,2022-06-23,Pool,1,4,13,10,7,14,31,1,1,3,5,2,2,11,15,7,1,20,28,4,1,0,5,0,0,2,2
Martin RAMOS,Argentina,Middle Blocker,Men,Slovenia,2022-06-23,Pool,1,4,1,1,0,1,2,0,0,2,2,0,0,6,6,0,0,0,0,0,1,0,1,0,0,0,0
Franco MASSIMINO,Argentina,Libero,Men,Slovenia,2022-06-23,Pool,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Nicolas ZERBA,Argentina,Middle Blocker,Men,Slovenia,2022-06-23,Pool,1,4,5,4,2,2,8,1,6,4,11,0,1,3,4,0,0,1,1,0,0,0,0,0,0,0,0
Matias GIRAUDO,Argentina,Setter,Men,Slovenia,2022-06-23,Pool,1,4,1,1,0,0,1,0,0,1,1,0,0,4,4,0,0,0,0,3,0,0,3,6,0,31,37
Matias SANCHEZ,Argentina,Setter,Men,Japan,2022-06-21,Pool,1,4,1,1,0,0,1,0,1,0,1,0,2,13,15,0,0,1,1,4,0,1,5,25,0,44,69
Joaquin GALLEGO,Argentina,Middle Blocker,Men,Japan,2022-06-21,Pool,1,4,1,0,2,2,4,1,3,3,7,0,0,4,4,0,0,0,0,1,0,0,1,0,0,0,0
Agustin LOSER,Argentina,Middle Blocker,Men,Japan,2022-06-21,Pool,1,4,11,8,1,3,12,3,7,10,20,0,3,11,14,1,0,2,3,3,2,2,7,0,0,1,1
Santiago DANANI,Argentina,Libero,Men,Japan,2022-06-21,Pool,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,4,2,10,16,12,3,0,15,0,0,2,2
Nicolás LAZO,Argentina,Outside Hitter,Men,Japan,2022-06-21,Pool,1,4,8,7,2,6,15,0,2,1,3,1,3,14,18,7,0,11,18,1,3,0,4,0,0,5,5
Manuel ARMOA,Argentina,Outside Hitter,Men,Japan,2022-06-21,Pool,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bruno LIMA,Argentina,Opposite Spiker,Men,Japan,2022-06-21,Pool,1,4,18,17,4,9,30,1,2,0,3,0,7,6,13,0,1,1,2,3,1,0,4,0,0,0,0
Ezequiel PALACIOS,Argentina,Outside Hitter,Men,Japan,2022-06-21,Pool,1,4,13,13,2,8,23,0,4,7,11,0,0,12,12,9,6,14,29,4,2,2,8,0,0,1,1
Luciano PALONSKY,Argentina,Outside Hitter,Men,Japan,2022-06-21,Pool,1,4,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Luciano VICENTIN,Argentina,Outside Hitter,Men,Japan,2022-06-21,Pool,1,4,3,3,0,2,5,0,0,0,0,0,0,1,1,0,0,3,3,1,0,0,1,0,0,0,0
Martin RAMOS,Argentina,Middle Blocker,Men,Japan,2022-06-21,Pool,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Franco MASSIMINO,Argentina,Libero,Men,Japan,2022-06-21,Pool,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Nicolas ZERBA,Argentina,Middle Blocker,Men,Japan,2022-06-21,Pool,1,4,0,0,0,2,2,0,2,6,8,0,1,5,6,0,0,1,1,1,0,0,1,0,0,0,0
Matias GIRAUDO,Argentina,Setter,Men,Japan,2022-06-21,Pool,1,4,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,3,0,8,11
Matias SANCHEZ,Argentina,Setter,Men,Italy,2022-06-12,Pool,1,4,0,0,0,1,1,0,4,0,4,0,1,9,10,0,0,0,0,7,0,4,11,47,0,30,77
Joaquin GALLEGO,Argentina,Middle Blocker,Men,Italy,2022-06-12,Pool,1,4,8,3,0,2,5,5,3,1,9,0,3,10,13,1,0,1,2,1,0,2,3,0,0,0,0
Agustin LOSER,Argentina,Middle Blocker,Men,Italy,2022-06-12,Pool,1,4,16,12,2,7,21,2,7,9,18,2,6,14,22,1,0,3,4,4,0,4,8,0,0,2,2
Santiago DANANI,Argentina,Libero,Men,Italy,2022-06-12,Pool,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,6,1,13,20,11,5,6,22,0,0,5,5
Nicolás LAZO,Argentina,Outside Hitter,Men,Italy,2022-06-12,Pool,1,4,3,3,0,4,7,0,0,2,2,0,1,5,6,0,0,4,4,2,1,2,5,0,0,2,2
Manuel ARMOA,Argentina,Outside Hitter,Men,Italy,2022-06-12,Pool,1,4,2,1,4,3,8,1,0,0,1,0,0,2,2,3,1,3,7,0,2,0,2,0,0,1,1
Bruno LIMA,Argentina,Opposite Spiker,Men,Italy,2022-06-12,Pool,1,4,18,17,6,11,34,1,7,4,12,0,5,9,14,0,2,2,4,2,1,6,9,0,0,2,2
Ezequiel PALACIOS,Argentina,Outside Hitter,Men,Italy,2022-06-12,Pool,1,4,7,7,0,7,14,0,5,4,9,0,3,11,14,0,0,10,10,7,1,3,11,1,0,3,4
Luciano PALONSKY,Argentina,Outside Hitter,Men,Italy,2022-06-12,Pool,1,4,8,8,6,11,25,0,2,3,5,0,1,7,8,1,3,16,20,2,1,2,5,0,0,4,4
Luciano VICENTIN,Argentina,Outside Hitter,Men,Italy,2022-06-12,Pool,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Martin RAMOS,Argentina,Middle Blocker,Men,Italy,2022-06-12,Pool,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Franco MASSIMINO,Argentina,Libero,Men,Italy,2022-06-12,Pool,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Nicolas ZERBA,Argentina,Middle Blocker,Men,Italy,2022-06-12,Pool,1,4,0,0,2,1,3,0,0,1,1,0,0,2,2,0,0,2,2,0,0,0,0,0,0,0,0
Matias GIRAUDO,Argentina,Setter,Men,Italy,2022-06-12,Pool,1,4,0,0,0,0,0,0,1,0,1,0,1,3,4,0,0,0,0,1,2,2,5,11,0,5,16
Matias SANCHEZ,Argentina,Setter,Men,Serbia,2022-06-10,Pool,2,5,1,0,1,0,1,1,0,0,1,0,0,4,4,0,0,0,0,3,0,0,3,27,0,19,46
Joaquin GALLEGO,Argentina,Middle Blocker,Men,Serbia,2022-06-10,Pool,2,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Agustin LOSER,Argentina,Middle Blocker,Men,Serbia,2022-06-10,Pool,2,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Santiago DANANI,Argentina,Libero,Men,Serbia,2022-06-10,Pool,2,5,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,19,22,6,1,4,11,0,0,4,4
Nicolás LAZO,Argentina,Outside Hitter,Men,Serbia,2022-06-10,Pool,2,5,1,1,0,0,1,0,0,0,0,0,0,2,2,1,3,3,7,0,0,0,0,0,0,1,1
Manuel ARMOA,Argentina,Outside Hitter,Men,Serbia,2022-06-10,Pool,2,5,13,8,5,8,21,3,3,1,7,2,2,9,13,5,0,15,20,1,1,2,4,1,0,3,4
Bruno LIMA,Argentina,Opposite Spiker,Men,Serbia,2022-06-10,Pool,2,5,15,11,7,12,30,2,2,2,6,2,4,6,12,1,0,0,1,3,4,1,8,0,0,1,1
Ezequiel PALACIOS,Argentina,Outside Hitter,Men,Serbia,2022-06-10,Pool,2,5,2,2,2,2,6,0,2,2,4,0,2,1,3,3,1,9,13,1,0,3,4,0,0,0,0
Luciano PALONSKY,Argentina,Outside Hitter,Men,Serbia,2022-06-10,Pool,2,5,18,18,3,11,32,0,5,2,7,0,6,9,15,4,2,13,19,2,3,2,7,0,0,4,4
Luciano VICENTIN,Argentina,Outside Hitter,Men,Serbia,2022-06-10,Pool,2,5,0,0,1,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
Martin RAMOS,Argentina,Middle Blocker,Men,Serbia,2022-06-10,Pool,2,5,8,7,2,6,15,1,3,6,10,0,1,11,12,0,0,3,3,3,1,2,6,0,0,3,3
Franco MASSIMINO,Argentina,Libero,Men,Serbia,2022-06-10,Pool,2,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Nicolas ZERBA,Argentina,Middle Blocker,Men,Serbia,2022-06-10,Pool,2,5,9,6,0,1,7,2,4,10,16,1,1,14,16,0,0,0,0,2,2,0,4,0,0,0,0
Matias GIRAUDO,Argentina,Setter,Men,Serbia,2022-06-10,Pool,2,5,6,2,0,0,2,1,1,1,3,3,3,7,13,0,0,0,0,5,1,2,8,29,0,17,46
Matias SANCHEZ,Argentina,Setter,Men,Germany,2022-06-09,Pool,3,4,0,0,0,2,2,0,1,0,1,0,0,10,10,0,0,1,1,6,0,2,8,23,0,44,67
Joaquin GALLEGO,Argentina,Middle Blocker,Men,Germany,2022-06-09,Pool,3,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Agustin LOSER,Argentina,Middle Blocker,Men,Germany,2022-06-09,Pool,3,4,13,8,2,3,13,2,14,5,21,3,2,18,23,0,0,0,0,1,0,1,2,0,0,1,1
Santiago DANANI,Argentina,Libero,Men,Germany,2022-06-09,Pool,3,4,0,0,0,0,0,0,0,0,0,0,0,0,0,7,2,8,17,14,2,2,18,0,0,7,7
Nicolás LAZO,Argentina,Outside Hitter,Men,Germany,2022-06-09,Pool,3,4,10,10,2,6,18,0,3,2,5,0,1,16,17,3,5,12,20,5,0,1,6,0,0,4,4
Manuel ARMOA,Argentina,Outside Hitter,Men,Germany,2022-06-09,Pool,3,4,3,1,3,5,9,2,1,1,4,0,1,2,3,1,0,4,5,0,1,1,2,0,0,0,0
