team,opponent,division,phase,sets_won,sets_played,sets_scores,team_attacks,team_blocks,team_aces,opp_errors,team_total_points,team_digs,team_receptions,team_sets,team_err_committed,opp_points
Japan,Dominican Republic,Women,Pool,3,4,"[25, 20, 25, 25]",60,7,3,25,95,105,65,140,15,73
United States,Brazil,Women,Pool,3,3,"[25, 25, 25]",45,11,6,13,75,62,56,98,17,59
Brazil,United States,Women,Pool,0,3,"[21, 20, 18]",32,8,2,17,59,48,69,88,13,75
Serbia,Netherlands,Women,Pool,3,5,"[27, 25, 17, 22, 15]",67,12,5,22,106,113,96,156,21,104
Netherlands,Serbia,Women,Pool,2,5,"[25, 16, 25, 25, 13]",65,13,5,21,104,110,96,161,22,106
Thailand,China,Women,Pool,3,5,"[25, 13, 14, 25, 15]",64,6,2,20,92,96,105,149,24,107
China,Thailand,Women,Pool,2,5,"[23, 25, 25, 23, 11]",70,6,7,24,107,99,78,144,20,92
Türkiye,Belgium,Women,Pool,3,4,"[15, 25, 25, 25]",50,14,3,23,90,85,74,122,22,82
Belgium,Türkiye,Women,Pool,1,4,"[25, 21, 21, 15]",50,6,4,22,82,89,81,139,23,90
Poland,Germany,Women,Pool,3,5,"[27, 25, 14, 23, 15]",62,12,6,24,104,80,92,138,27,104
Germany,Poland,Women,Pool,2,5,"[25, 22, 25, 25, 7]",65,8,4,27,104,102,91,147,24,104
Japan,United States,Women,Pool,3,3,"[25, 25, 25]",47,6,4,18,75,82,56,114,11,62
United States,Japan,Women,Pool,0,3,"[22, 20, 20]",46,5,0,11,62,83,68,117,18,75
Korea,Canada,Women,Pool,0,3,"[21, 13, 16]",27,2,4,17,50,56,64,90,16,75
Canada,Korea,Women,Pool,3,3,"[25, 25, 25]",43,12,4,16,75,53,46,75,17,50
Canada,Thailand,Women,Pool,0,3,"[19, 22, 24]",43,5,6,10,64,35,70,104,27,77
Thailand,Canada,Women,Pool,3,3,"[25, 25, 26]",45,2,3,27,77,43,54,102,10,64
Japan,Poland,Women,Pool,3,3,"[25, 25, 25]",49,4,4,18,75,51,59,103,17,63
Poland,Japan,Women,Pool,0,3,"[21, 21, 21]",41,4,1,17,63,49,63,97,18,75
Netherlands,Germany,Women,Pool,1,4,"[20, 19, 25, 22]",51,9,5,21,86,55,72,117,16,87
Germany,Netherlands,Women,Pool,3,4,"[25, 25, 12, 25]",63,7,1,16,87,58,77,146,21,86
Serbia,Italy,Women,Pool,1,4,"[25, 14, 15, 20]",41,8,2,23,74,61,83,77,26,96
Italy,Serbia,Women,Pool,3,4,"[21, 25, 25, 25]",50,13,7,26,96,61,64,75,23,74
Bulgaria,United States,Women,Pool,0,3,"[20, 22, 20]",37,5,6,14,62,47,66,93,17,75
United States,Bulgaria,Women,Pool,3,3,"[25, 25, 25]",44,7,7,17,75,51,56,85,14,62
China,Belgium,Women,Pool,3,3,"[25, 25, 25]",45,10,2,18,75,52,50,81,9,55
Belgium,China,Women,Pool,0,3,"[19, 22, 14]",44,0,2,9,55,68,70,103,18,75
Dominican Republic,Korea,Women,Pool,3,3,"[25, 25, 25]",41,6,2,26,75,40,33,78,14,51
Korea,Dominican Republic,Women,Pool,0,3,"[21, 17, 13]",28,8,1,14,51,25,63,97,26,75
Brazil,Türkiye,Women,Pool,3,4,"[19, 25, 25, 25]",56,17,6,15,94,54,88,134,24,94
Türkiye,Brazil,Women,Pool,1,4,"[25, 23, 23, 23]",55,12,3,24,94,53,85,126,15,94
Poland,Thailand,Women,Pool,3,5,"[22, 27, 25, 25, 15]",73,13,7,21,114,109,91,185,33,99
Thailand,Poland,Women,Pool,2,5,"[25, 29, 16, 16, 13]",52,9,5,33,99,97,97,153,21,114
Canada,Belgium,Women,Pool,3,4,"[25, 25, 22, 25]",69,11,4,13,97,73,84,123,22,90
Belgium,Canada,Women,Pool,1,4,"[22, 21, 25, 22]",50,13,5,22,90,79,83,118,13,97
Bulgaria,Japan,Women,Pool,0,3,"[20, 16, 23]",41,2,0,16,59,57,65,108,20,75
Japan,Bulgaria,Women,Pool,3,3,"[25, 25, 25]",46,5,4,20,75,72,56,108,16,59
Serbia,Korea,Women,Pool,3,3,"[40, 25, 25]",46,9,2,33,90,53,71,118,21,82
Korea,Serbia,Women,Pool,0,3,"[38, 22, 22]",52,6,3,21,82,54,78,135,33,90
Italy,Dominican Republic,Women,Pool,3,5,"[25, 20, 25, 16, 15]",58,12,2,29,101,57,88,145,25,104
Dominican Republic,Italy,Women,Pool,2,5,"[23, 25, 19, 25, 12]",64,11,4,25,104,56,89,144,29,101
Netherlands,Brazil,Women,Pool,0,3,"[16, 15, 23]",26,7,3,18,54,49,66,105,23,75
Brazil,Netherlands,Women,Pool,3,3,"[25, 25, 25]",40,10,2,23,75,53,48,91,18,54
Poland,United States,Women,Pool,0,3,"[12, 21, 16]",35,3,1,10,49,49,70,99,14,75
United States,Poland,Women,Pool,3,3,"[25, 25, 25]",51,9,1,14,75,59,44,86,10,49
China,Canada,Women,Pool,3,4,"[25, 18, 25, 25]",50,10,9,24,93,79,60,119,17,71
Canada,China,Women,Pool,1,4,"[16, 25, 12, 18]",46,3,5,17,71,74,87,120,24,93
Japan,Thailand,Women,Pool,3,3,"[25, 25, 25]",51,6,0,18,75,80,47,125,12,52
Thailand,Japan,Women,Pool,0,3,"[22, 16, 14]",34,6,0,12,52,74,66,116,18,75
Germany,Italy,Women,Pool,0,3,"[19, 22, 25]",32,7,5,22,66,35,67,88,14,77
Italy,Germany,Women,Pool,3,3,"[25, 25, 27]",53,8,2,14,77,40,61,101,22,66
Serbia,Türkiye,Women,Pool,3,5,"[25, 15, 20, 25, 15]",51,18,4,27,100,65,94,148,24,104
Türkiye,Serbia,Women,Pool,2,5,"[19, 25, 25, 22, 13]",63,14,3,24,104,70,92,165,27,100
Netherlands,Dominican Republic,Women,Pool,2,5,"[25, 20, 21, 25, 7]",67,6,2,23,98,82,93,171,23,103
Dominican Republic,Netherlands,Women,Pool,3,5,"[23, 25, 25, 15, 15]",69,8,3,23,103,97,90,159,23,98
Bulgaria,Canada,Women,Pool,3,3,"[26, 25, 25]",50,7,3,16,76,60,63,99,9,67
Canada,Bulgaria,Women,Pool,0,3,"[24, 22, 21]",45,6,7,9,67,64,69,103,16,76
Belgium,Poland,Women,Pool,3,5,"[25, 15, 25, 22, 15]",58,8,5,31,102,107,91,165,16,105
Poland,Belgium,Women,Pool,2,5,"[20, 25, 22, 25, 13]",71,12,6,16,105,109,95,161,31,102
United States,China,Women,Pool,3,3,"[25, 25, 25]",50,7,8,10,75,52,62,99,22,65
China,United States,Women,Pool,0,3,"[21, 23, 21]",35,5,3,22,65,42,62,77,10,75
Italy,Brazil,Women,Pool,3,4,"[25, 25, 14, 25]",47,15,1,26,89,40,61,86,21,71
Brazil,Italy,Women,Pool,1,4,"[17, 15, 25, 14]",40,5,5,21,71,36,76,104,26,89
Germany,Türkiye,Women,Pool,0,3,"[22, 21, 22]",34,5,6,20,65,37,66,91,17,75
Türkiye,Germany,Women,Pool,3,3,"[25, 25, 25]",44,12,2,17,75,38,57,87,20,65
Netherlands,Korea,Women,Pool,3,3,"[25, 25, 25]",47,6,2,20,75,51,40,84,8,50
Korea,Netherlands,Women,Pool,0,3,"[11, 21, 18]",34,5,3,8,50,43,66,98,20,75
Bulgaria,Belgium,Women,Pool,2,5,"[22, 23, 25, 25, 15]",61,16,1,32,110,125,92,173,31,107
Belgium,Bulgaria,Women,Pool,3,5,"[25, 25, 20, 20, 17]",57,11,8,31,107,120,98,176,32,110
Thailand,United States,Women,Pool,1,4,"[25, 13, 23, 18]",47,2,3,27,79,97,79,139,18,92
United States,Thailand,Women,Pool,3,4,"[17, 25, 25, 25]",61,8,5,18,92,83,76,137,27,79
Japan,China,Women,Pool,3,4,"[19, 25, 25, 25]",55,9,7,23,94,82,72,127,13,76
China,Japan,Women,Pool,1,4,"[25, 16, 23, 12]",47,12,4,13,76,72,85,123,23,94
Brazil,Serbia,Women,Pool,3,3,"[25, 25, 25]",40,19,1,15,75,58,48,102,15,51
Serbia,Brazil,Women,Pool,0,3,"[21, 9, 21]",32,4,0,15,51,57,69,114,15,75
Germany,Dominican Republic,Women,Pool,1,4,"[23, 23, 25, 25]",55,8,7,26,96,61,73,134,25,88
Dominican Republic,Germany,Women,Pool,3,4,"[25, 25, 11, 27]",51,11,1,25,88,60,85,126,26,96
Türkiye,Korea,Women,Pool,3,4,"[20, 25, 25, 25]",54,15,6,20,95,43,68,110,21,72
Korea,Türkiye,Women,Pool,1,4,"[25, 13, 19, 15]",42,6,3,21,72,39,87,127,20,95
China,Brazil,Women,Pool,2,5,"[20, 23, 25, 25, 11]",60,11,3,30,104,81,91,138,18,104
Brazil,China,Women,Pool,3,5,"[25, 25, 18, 21, 15]",72,11,3,18,104,90,99,159,30,104
Dominican Republic,Bulgaria,Women,Pool,0,3,"[15, 13, 21]",29,4,0,16,49,18,67,56,18,75
Bulgaria,Dominican Republic,Women,Pool,3,3,"[25, 25, 25]",43,9,5,18,75,30,45,64,16,49
Serbia,Germany,Women,Pool,3,4,"[17, 25, 25, 25]",59,8,3,22,92,59,74,116,21,80
Germany,Serbia,Women,Pool,1,4,"[25, 16, 21, 18]",48,6,5,21,80,54,82,125,22,92
Canada,Türkiye,Women,Pool,3,4,"[25, 21, 25, 25]",56,14,6,20,96,35,85,110,31,92
Türkiye,Canada,Women,Pool,1,4,"[22, 25, 22, 23]",51,5,5,31,92,33,79,100,20,96
Thailand,Korea,Women,Pool,3,3,"[25, 25, 25]",36,17,1,21,75,40,43,78,10,50
Korea,Thailand,Women,Pool,0,3,"[11, 22, 17]",33,6,1,10,50,33,68,109,21,75
Italy,Poland,Women,Pool,3,4,"[25, 25, 28, 25]",62,14,4,23,103,75,81,128,32,91
Poland,Italy,Women,Pool,1,4,"[27, 20, 26, 18]",46,9,4,32,91,68,84,129,23,103
Japan,Netherlands,Women,Pool,2,5,"[25, 20, 26, 21, 10]",77,2,5,18,102,64,102,188,17,112
Netherlands,Japan,Women,Pool,3,5,"[23, 25, 24, 25, 15]",75,16,4,17,112,63,95,165,18,102
Belgium,United States,Women,Pool,0,3,"[16, 21, 19]",36,5,4,11,56,41,68,107,14,75
United States,Belgium,Women,Pool,3,3,"[25, 25, 25]",49,9,3,14,75,48,51,95,11,56
Thailand,Dominican Republic,Women,Pool,1,4,"[25, 23, 23, 21]",56,6,6,24,92,82,85,122,21,97
Dominican Republic,Thailand,Women,Pool,3,4,"[22, 25, 25, 25]",64,8,4,21,97,77,82,114,24,92
Poland,China,Women,Pool,0,3,"[8, 23, 20]",30,4,1,16,51,51,65,89,22,75
China,Poland,Women,Pool,3,3,"[25, 25, 25]",39,11,3,22,75,53,42,79,16,51
Korea,Brazil,Women,Pool,0,3,"[17, 19, 13]",29,5,3,12,49,44,70,90,18,75
Brazil,Korea,Women,Pool,3,3,"[25, 25, 25]",39,14,4,18,75,53,43,78,12,49
Türkiye,Netherlands,Women,Pool,3,3,"[25, 25, 25]",47,8,5,15,75,41,49,101,16,55
Netherlands,Türkiye,Women,Pool,0,3,"[23, 11, 21]",31,8,0,16,55,34,68,106,15,75
Germany,Belgium,Women,Pool,3,4,"[20, 25, 25, 25]",69,3,4,19,95,74,74,150,15,85
Belgium,Germany,Women,Pool,1,4,"[25, 18, 22, 20]",61,5,4,15,85,75,85,156,19,95
United States,Serbia,Women,Pool,3,3,"[25, 33, 25]",48,9,5,21,83,56,58,94,11,64
Serbia,United States,Women,Pool,0,3,"[17, 31, 16]",44,5,4,11,64,32,75,95,21,83
China,Dominican Republic,Women,Pool,3,3,"[25, 25, 25]",41,8,5,21,75,44,44,75,7,50
Dominican Republic,China,Women,Pool,0,3,"[19, 16, 15]",35,5,3,7,50,44,73,97,21,75
Italy,Korea,Women,Pool,3,4,"[25, 23, 25, 25]",55,11,3,29,98,77,65,126,27,76
Korea,Italy,Women,Pool,1,4,"[17, 25, 15, 19]",42,6,1,27,76,63,87,143,29,98
Brazil,Bulgaria,Women,Pool,3,3,"[25, 25, 25]",40,11,3,21,75,44,54,84,19,59
Bulgaria,Brazil,Women,Pool,0,3,"[21, 20, 18]",31,5,4,19,59,46,63,97,21,75
Belgium,Netherlands,Women,Pool,1,4,"[25, 24, 20, 21]",60,9,3,18,90,93,89,174,19,97
Netherlands,Belgium,Women,Pool,3,4,"[21, 26, 25, 25]",59,14,5,19,97,92,79,157,18,90
Türkiye,Japan,Women,Pool,3,4,"[25, 25, 18, 25]",55,19,2,17,93,58,74,131,23,82
Japan,Türkiye,Women,Pool,1,4,"[20, 15, 25, 22]",50,5,4,23,82,67,84,156,17,93
Serbia,Canada,Women,Pool,3,4,"[25, 25, 20, 25]",56,9,5,23,93,25,74,93,19,82
Canada,Serbia,Women,Pool,1,4,"[20, 14, 25, 22]",49,13,1,19,82,13,82,91,23,93
Dominican Republic,Poland,Women,Pool,3,5,"[20, 38, 25, 13, 15]",69,12,4,26,111,84,102,166,26,115
Poland,Dominican Republic,Women,Pool,2,5,"[25, 36, 20, 25, 9]",64,17,8,26,115,91,99,158,26,111
Brazil,Thailand,Women,Pool,3,4,"[25, 26, 23, 25]",60,9,1,29,99,72,80,135,16,90
Thailand,Brazil,Women,Pool,1,4,"[18, 24, 25, 23]",63,7,4,16,90,67,94,140,29,99
Italy,Bulgaria,Women,Pool,3,3,"[25, 25, 25]",50,7,4,14,75,47,47,82,12,52
Bulgaria,Italy,Women,Pool,0,3,"[12, 19, 21]",35,1,4,12,52,41,66,94,14,75
Türkiye,United States,Women,Pool,2,5,"[22, 25, 25, 25, 16]",72,12,2,27,113,59,93,146,23,112
United States,Türkiye,Women,Pool,3,5,"[25, 18, 27, 23, 18]",75,5,9,23,112,62,100,160,27,113
Japan,Serbia,Women,Pool,1,4,"[25, 20, 19, 22]",55,3,5,23,86,109,87,203,21,97
Serbia,Japan,Women,Pool,3,4,"[22, 25, 25, 25]",64,10,2,21,97,105,80,167,23,86
Germany,Canada,Women,Pool,3,4,"[25, 19, 27, 25]",53,4,7,32,96,73,74,133,14,92
Canada,Germany,Women,Pool,1,4,"[19, 25, 25, 23]",64,11,3,14,92,73,84,142,32,96
China,Korea,Women,Pool,3,4,"[25, 19, 25, 26]",55,12,4,24,95,75,74,117,26,81
Korea,China,Women,Pool,1,4,"[13, 25, 19, 24]",47,4,4,26,81,67,85,141,24,95
Thailand,Italy,Women,Pool,0,3,"[20, 14, 14]",34,0,0,14,48,45,66,97,12,75
Italy,Thailand,Women,Pool,3,3,"[25, 25, 25]",50,6,7,12,75,59,47,90,14,48
Belgium,Japan,Women,Pool,3,5,"[25, 18, 25, 11, 15]",59,11,5,19,94,71,86,154,24,95
Japan,Belgium,Women,Pool,2,5,"[16, 25, 19, 25, 10]",64,2,5,24,95,87,81,172,19,94
Poland,Bulgaria,Women,Pool,1,4,"[25, 13, 17, 22]",48,8,2,19,77,53,86,132,28,97
Bulgaria,Poland,Women,Pool,3,4,"[22, 25, 25, 25]",59,8,2,28,97,61,68,123,19,77
United States,Germany,Women,Pool,3,4,"[25, 25, 13, 25]",51,11,6,20,88,72,70,128,17,77
Germany,United States,Women,Pool,1,4,"[17, 13, 25, 22]",50,7,3,17,77,86,75,151,20,88
Netherlands,Canada,Women,Pool,3,4,"[22, 27, 26, 25]",54,11,7,28,100,100,84,173,18,97
Canada,Netherlands,Women,Pool,1,4,"[25, 25, 24, 23]",62,12,5,18,97,91,93,169,28,100
Brazil,Japan,Women,Quarterfinals,3,4,"[29, 28, 20, 25]",64,16,3,19,102,92,83,136,23,92
Japan,Brazil,Women,Quarterfinals,1,4,"[27, 26, 25, 14]",59,5,5,23,92,104,92,145,19,102
United States,Serbia,Women,Quarterfinals,2,5,"[27, 23, 25, 25, 13]",66,21,3,23,113,81,100,126,22,109
Serbia,United States,Women,Quarterfinals,3,5,"[29, 25, 20, 20, 15]",67,14,6,22,109,81,105,135,23,113
Italy,China,Women,Quarterfinals,3,4,"[25, 25, 24, 25]",68,7,8,16,99,94,84,153,21,89
China,Italy,Women,Quarterfinals,1,4,"[22, 19, 26, 22]",54,12,2,21,89,79,89,134,16,99
Türkiye,Thailand,Women,Quarterfinals,3,4,"[23, 25, 25, 25]",58,10,6,24,98,80,71,116,21,79
Thailand,Türkiye,Women,Quarterfinals,1,4,"[25, 15, 18, 21]",51,4,3,21,79,92,86,121,24,98
Serbia,Brazil,Women,Semifinals,1,4,"[25, 18, 24, 19]",53,12,5,16,86,87,84,128,19,90
Brazil,Serbia,Women,Semifinals,3,4,"[14, 25, 26, 25]",59,10,2,19,90,87,81,130,16,86
Türkiye,Italy,Women,Semifinals,0,3,"[18, 26, 22]",41,5,2,18,66,60,68,99,19,78
Italy,Türkiye,Women,Semifinals,3,3,"[25, 28, 25]",47,10,2,19,78,67,59,111,18,66
Türkiye,Serbia,Women,Finals (Bronze),0,3,"[25, 17, 24]",37,9,3,17,66,61,71,101,14,78
Serbia,Türkiye,Women,Finals (Bronze),3,3,"[27, 25, 26]",52,10,2,14,78,66,67,118,17,66
Italy,Brazil,Women,Finals (Gold),3,3,"[25, 25, 25]",50,7,2,16,75,64,65,100,19,67
Brazil,Italy,Women,Finals (Gold),0,3,"[23, 22, 22]",41,4,3,19,67,60,64,96,16,75
