team,opponent,division,phase,sets_won,sets_played,sets_scores,team_attacks,team_blocks,team_aces,opp_errors,team_total_points,team_digs,team_receptions,team_sets,team_err_committed,opp_points
Italy,Argentina,Men,Pool,3,4,"[25, 25, 16, 30]",48,13,7,28,96,73,74,112,32,94
Netherlands,Australia,Men,Pool,3,3,"[25, 25, 25]",37,6,9,23,75,30,45,66,19,58
Australia,Netherlands,Men,Pool,0,3,"[20, 15, 23]",34,4,1,19,58,30,57,62,23,75
Bulgaria,Canada,Men,Pool,2,5,"[18, 18, 26, 25, 11]",52,9,7,30,98,53,89,112,23,110
Canada,Bulgaria,Men,Pool,3,5,"[25, 25, 24, 21, 15]",66,14,7,23,110,60,85,116,30,98
Slovenia,Netherlands,Men,Pool,0,3,"[17, 21, 24]",35,8,2,17,62,44,64,81,24,76
Netherlands,Slovenia,Men,Pool,3,3,"[25, 25, 26]",38,5,9,24,76,44,47,74,17,62
Argentina,Japan,Men,Pool,1,4,"[25, 18, 25, 16]",49,5,1,29,84,46,73,89,23,94
Japan,Argentina,Men,Pool,3,4,"[27, 25, 17, 25]",56,6,9,23,94,61,67,106,29,84
Australia,Canada,Men,Pool,1,4,"[25, 26, 19, 22]",54,7,8,23,92,44,78,108,29,96
Canada,Australia,Men,Pool,3,4,"[18, 28, 25, 25]",53,7,7,29,96,22,77,104,23,92
Iran,Bulgaria,Men,Pool,0,3,"[19, 23, 24]",39,5,1,21,66,17,64,76,18,76
Bulgaria,Iran,Men,Pool,3,3,"[25, 25, 26]",44,8,6,18,76,19,57,77,21,66
France,China,Men,Pool,3,0,"[25, 25, 25]",0,0,0,0,0,0,0,0,0,0
China,France,Men,Pool,0,0,"[0, 0, 0]",0,0,0,0,0,0,0,0,0,0
Germany,Italy,Men,Pool,0,3,"[16, 21, 22]",33,4,3,19,59,33,61,75,24,75
Italy,Germany,Men,Pool,3,3,"[25, 25, 25]",35,12,4,24,75,38,43,59,19,59
Brazil,Poland,Men,Pool,1,4,"[16, 25, 16, 22]",48,5,1,25,79,42,80,111,29,97
Poland,Brazil,Men,Pool,3,4,"[25, 22, 25, 25]",48,7,13,29,97,34,63,99,25,79
Serbia,United States,Men,Pool,1,4,"[24, 25, 23, 20]",57,3,6,26,92,29,81,97,31,99
United States,Serbia,Men,Pool,3,4,"[26, 23, 25, 25]",56,7,5,31,99,30,71,92,26,92
France,Netherlands,Men,Pool,3,3,"[25, 25, 25]",41,12,4,18,75,29,40,59,14,50
Netherlands,France,Men,Pool,0,3,"[14, 23, 13]",30,1,5,14,50,34,61,76,18,75
China,Germany,Men,Pool,3,0,"[25, 25, 25]",0,0,0,0,0,0,0,0,0,0
Germany,China,Men,Pool,0,0,"[0, 0, 0]",0,0,0,0,0,0,0,0,0,0
Poland,Canada,Men,Pool,3,3,"[25, 25, 25]",43,5,4,23,75,21,37,63,17,50
Canada,Poland,Men,Pool,0,3,"[16, 18, 16]",28,2,3,17,50,14,60,70,23,75
Argentina,Slovenia,Men,Pool,1,4,"[20, 29, 18, 17]",47,10,4,23,84,66,86,119,38,102
Slovenia,Argentina,Men,Pool,3,4,"[25, 27, 25, 25]",50,8,6,38,102,68,65,111,23,84
Serbia,Brazil,Men,Pool,0,3,"[18, 24, 17]",33,3,3,20,59,23,62,80,25,76
Brazil,Serbia,Men,Pool,3,3,"[25, 26, 25]",36,7,8,25,76,25,46,75,20,59
United States,Iran,Men,Pool,0,3,"[18, 27, 25]",42,4,3,21,70,20,66,89,24,81
Iran,United States,Men,Pool,3,3,"[25, 29, 27]",46,6,5,24,81,16,60,74,21,70
