team,opponent,division,phase,sets_won,sets_played,sets_scores,team_attacks,team_blocks,team_aces,opp_errors,team_total_points,team_digs,team_receptions,team_sets,team_err_committed,opp_points
United States,Serbia,Women,Pool 5,3,3,"[25, 33, 25]",48,9,5,21,83,56,58,94,11,64
Serbia,United States,Women,Pool 5,0,3,"[17, 31, 16]",44,5,4,11,64,32,75,95,21,83
China,Dominican Republic,Women,Pool 6,3,3,"[25, 25, 25]",41,8,5,21,75,44,44,75,7,50
Dominican Republic,China,Women,Pool 6,0,3,"[19, 16, 15]",35,5,3,7,50,44,73,97,21,75
Italy,Korea,Women,Pool 6,3,4,"[25, 23, 25, 25]",55,11,3,29,98,77,65,126,27,76
Korea,Italy,Women,Pool 6,1,4,"[17, 25, 15, 19]",42,6,1,27,76,63,87,143,29,98
Brazil,Bulgaria,Women,Pool 6,3,3,"[25, 25, 25]",40,11,3,21,75,44,54,84,19,59
Bulgaria,Brazil,Women,Pool 6,0,3,"[21, 20, 18]",31,5,4,19,59,46,63,97,21,75
Belgium,Netherlands,Women,Pool 5,1,4,"[25, 24, 20, 21]",60,9,3,18,90,93,89,174,19,97
Netherlands,Belgium,Women,Pool 5,3,4,"[21, 26, 25, 25]",59,14,5,19,97,92,79,157,18,90
Türkiye,Japan,Women,Pool 5,3,4,"[25, 25, 18, 25]",55,19,2,17,93,58,74,131,23,82
Japan,Türkiye,Women,Pool 5,1,4,"[20, 15, 25, 22]",50,5,4,23,82,67,84,156,17,93
Serbia,Canada,Women,Pool 5,3,4,"[25, 25, 20, 25]",56,9,5,23,93,25,74,93,19,82
Canada,Serbia,Women,Pool 5,1,4,"[20, 14, 25, 22]",49,13,1,19,82,13,82,91,23,93
Dominican Republic,Poland,Women,Pool 6,3,5,"[20, 38, 25, 13, 15]",69,12,4,26,111,84,102,166,26,115
Poland,Dominican Republic,Women,Pool 6,2,5,"[25, 36, 20, 25, 9]",64,17,8,26,115,91,99,158,26,111
Brazil,Thailand,Women,Pool 6,3,4,"[25, 26, 23, 25]",60,9,1,29,99,72,80,135,16,90
Thailand,Brazil,Women,Pool 6,1,4,"[18, 24, 25, 23]",63,7,4,16,90,67,94,140,29,99
Italy,Bulgaria,Women,Pool 6,3,3,"[25, 25, 25]",50,7,4,14,75,47,47,82,12,52
Bulgaria,Italy,Women,Pool 6,0,3,"[12, 19, 21]",35,1,4,12,52,41,66,94,14,75
Türkiye,United States,Women,Pool 5,2,5,"[22, 25, 25, 25, 16]",72,12,2,27,113,59,93,146,23,112
United States,Türkiye,Women,Pool 5,3,5,"[25, 18, 27, 23, 18]",75,5,9,23,112,62,100,160,27,113
Japan,Serbia,Women,Pool 5,1,4,"[25, 20, 19, 22]",55,3,5,23,86,109,87,203,21,97
Serbia,Japan,Women,Pool 5,3,4,"[22, 25, 25, 25]",64,10,2,21,97,105,80,167,23,86
Germany,Canada,Women,Pool 5,3,4,"[25, 19, 27, 25]",53,4,7,32,96,73,74,133,14,92
Canada,Germany,Women,Pool 5,1,4,"[19, 25, 25, 23]",64,11,3,14,92,73,84,142,32,96
China,Korea,Women,Pool 6,3,4,"[25, 19, 25, 26]",55,12,4,24,95,75,74,117,26,81
Korea,China,Women,Pool 6,1,4,"[13, 25, 19, 24]",47,4,4,26,81,67,85,141,24,95
Thailand,Italy,Women,Pool 6,0,3,"[20, 14, 14]",34,0,0,14,48,45,66,97,12,75
Italy,Thailand,Women,Pool 6,3,3,"[25, 25, 25]",50,6,7,12,75,59,47,90,14,48
Belgium,Japan,Women,Pool 5,3,5,"[25, 18, 25, 11, 15]",59,11,5,19,94,71,86,154,24,95
Japan,Belgium,Women,Pool 5,2,5,"[16, 25, 19, 25, 10]",64,2,5,24,95,87,81,172,19,94
Poland,Bulgaria,Women,Pool 6,1,4,"[25, 13, 17, 22]",48,8,2,19,77,53,86,132,28,97
Bulgaria,Poland,Women,Pool 6,3,4,"[22, 25, 25, 25]",59,8,2,28,97,61,68,123,19,77
United States,Germany,Women,Pool 5,3,4,"[25, 25, 13, 25]",51,11,6,20,88,72,70,128,17,77
Germany,United States,Women,Pool 5,1,4,"[17, 13, 25, 22]",50,7,3,17,77,86,75,151,20,88
Netherlands,Canada,Women,Pool 5,3,4,"[22, 27, 26, 25]",54,11,7,28,100,100,84,173,18,97
Canada,Netherlands,Women,Pool 5,1,4,"[25, 25, 24, 23]",62,12,5,18,97,91,93,169,28,100
Brazil,Japan,Women,Quarter Finals,3,4,"[29, 28, 20, 25]",64,16,3,19,102,92,83,136,23,92
Japan,Brazil,Women,Quarter Finals,1,4,"[27, 26, 25, 14]",59,5,5,23,92,104,92,145,19,102
United States,Serbia,Women,Quarter Finals,2,5,"[27, 23, 25, 25, 13]",66,21,3,23,113,81,100,126,22,109
Serbia,United States,Women,Quarter Finals,3,5,"[29, 25, 20, 20, 15]",67,14,6,22,109,81,105,135,23,113
Italy,China,Women,Quarter Finals,3,4,"[25, 25, 24, 25]",68,7,8,16,99,94,84,153,21,89
China,Italy,Women,Quarter Finals,1,4,"[22, 19, 26, 22]",54,12,2,21,89,79,89,134,16,99
Türkiye,Thailand,Women,Quarter Finals,3,4,"[23, 25, 25, 25]",58,10,6,24,98,80,71,116,21,79
Thailand,Türkiye,Women,Quarter Finals,1,4,"[25, 15, 18, 21]",51,4,3,21,79,92,86,121,24,98
Serbia,Brazil,Women,Semifinals,1,4,"[25, 18, 24, 19]",53,12,5,16,86,87,84,128,19,90
Brazil,Serbia,Women,Semifinals,3,4,"[14, 25, 26, 25]",59,10,2,19,90,87,81,130,16,86
Türkiye,Italy,Women,Semifinals,0,3,"[18, 26, 22]",41,5,2,18,66,60,68,99,19,78
Italy,Türkiye,Women,Semifinals,3,3,"[25, 28, 25]",47,10,2,19,78,67,59,111,18,66
Türkiye,Serbia,Women,Final 3-4,0,3,"[25, 17, 24]",37,9,3,17,66,61,71,101,14,78
Serbia,Türkiye,Women,Final 3-4,3,3,"[27, 25, 26]",52,10,2,14,78,66,67,118,17,66
Italy,Brazil,Women,Final 1-2,3,3,"[25, 25, 25]",50,7,2,16,75,64,65,100,19,67
Brazil,Italy,Women,Final 1-2,0,3,"[23, 22, 22]",41,4,3,19,67,60,64,96,16,75
