team,opponent,division,phase,sets_won,sets_played,sets_scores,team_attacks,team_blocks,team_aces,opp_errors,team_total_points,team_digs,team_receptions,team_sets,team_err_committed,opp_points
Canada,Australia,Men,Pool 4,3,4,"[18, 28, 25, 25]",53,7,7,29,96,22,77,104,23,92
Iran,Bulgaria,Men,Pool 4,0,3,"[19, 23, 24]",39,5,1,21,66,17,64,76,18,76
Bulgaria,Iran,Men,Pool 4,3,3,"[25, 25, 26]",44,8,6,18,76,19,57,77,21,66
France,China,Men,Pool 3,3,3,"[25, 25, 25]",0,0,0,0,0,0,0,0,0,0
China,France,Men,Pool 3,0,3,"[0, 0, 0]",0,0,0,0,0,0,0,0,0,0
Germany,Italy,Men,Pool 3,0,3,"[16, 21, 22]",33,4,3,19,59,33,61,75,24,75
Italy,Germany,Men,Pool 3,3,3,"[25, 25, 25]",35,12,4,24,75,38,43,59,19,59
Brazil,Poland,Men,Pool 4,1,4,"[16, 25, 16, 22]",48,5,1,25,79,42,80,111,29,97
Poland,Brazil,Men,Pool 4,3,4,"[25, 22, 25, 25]",48,7,13,29,97,34,63,99,25,79
Serbia,United States,Men,Pool 4,1,4,"[24, 25, 23, 20]",57,3,6,26,92,29,81,97,31,99
United States,Serbia,Men,Pool 4,3,4,"[26, 23, 25, 25]",56,7,5,31,99,30,71,92,26,92
France,Netherlands,Men,Pool 3,3,3,"[25, 25, 25]",41,12,4,18,75,29,40,59,14,50
Netherlands,France,Men,Pool 3,0,3,"[14, 23, 13]",30,1,5,14,50,34,61,76,18,75
China,Germany,Men,Pool 3,3,3,"[25, 25, 25]",0,0,0,0,0,0,0,0,0,0
Germany,China,Men,Pool 3,0,3,"[0, 0, 0]",0,0,0,0,0,0,0,0,0,0
Poland,Canada,Men,Pool 4,3,3,"[25, 25, 25]",43,5,4,23,75,21,37,63,17,50
Canada,Poland,Men,Pool 4,0,3,"[16, 18, 16]",28,2,3,17,50,14,60,70,23,75
Argentina,Slovenia,Men,Pool 3,1,4,"[20, 29, 18, 17]",47,10,4,23,84,66,86,119,38,102
Slovenia,Argentina,Men,Pool 3,3,4,"[25, 27, 25, 25]",50,8,6,38,102,68,65,111,23,84
Serbia,Brazil,Men,Pool 4,0,3,"[18, 24, 17]",33,3,3,20,59,23,62,80,25,76
Brazil,Serbia,Men,Pool 4,3,3,"[25, 26, 25]",36,7,8,25,76,25,46,75,20,59
United States,Iran,Men,Pool 4,0,3,"[18, 27, 25]",42,4,3,21,70,20,66,89,24,81
Iran,United States,Men,Pool 4,3,3,"[25, 29, 27]",46,6,5,24,81,16,60,74,21,70
Germany,Netherlands,Men,Pool 3,1,4,"[25, 29, 23, 16]",55,9,1,28,93,86,81,133,25,103
Netherlands,Germany,Men,Pool 3,3,4,"[22, 31, 25, 25]",57,15,6,25,103,78,74,125,28,93
Argentina,China,Men,Pool 3,3,4,"[25, 22, 25, 25]",61,6,3,27,97,58,74,101,29,91
China,Argentina,Men,Pool 3,1,4,"[22, 25, 22, 22]",54,6,2,29,91,52,75,102,27,97
Serbia,Canada,Men,Pool 4,3,5,"[20, 19, 25, 26, 15]",58,6,3,38,105,38,80,100,34,105
Canada,Serbia,Men,Pool 4,2,5,"[25, 25, 20, 24, 11]",54,9,8,34,105,19,83,100,38,105
Japan,Italy,Men,Pool 3,3,5,"[25, 21, 24, 25, 15]",64,2,14,30,110,71,81,127,23,103
Italy,Japan,Men,Pool 3,2,5,"[20, 25, 26, 19, 13]",63,14,3,23,103,47,96,104,30,110
Iran,Brazil,Men,Pool 4,0,3,"[28, 23, 19]",35,5,4,26,70,13,60,66,18,80
Brazil,Iran,Men,Pool 4,3,3,"[30, 25, 25]",50,7,5,18,80,22,59,83,26,70
Australia,Bulgaria,Men,Pool 4,3,5,"[21, 25, 25, 20, 17]",61,8,7,32,108,42,86,122,23,100
Bulgaria,Australia,Men,Pool 4,2,5,"[25, 13, 22, 25, 15]",53,17,7,23,100,32,94,118,32,108
Argentina,Netherlands,Men,Pool 3,2,5,"[25, 23, 25, 19, 13]",62,11,4,28,105,65,85,107,25,107
Netherlands,Argentina,Men,Pool 3,3,5,"[22, 25, 20, 25, 15]",66,8,8,25,107,67,88,127,28,105
Japan,France,Men,Pool 3,0,3,"[22, 25, 16]",40,2,1,20,63,60,62,95,25,77
France,Japan,Men,Pool 3,3,3,"[25, 27, 25]",39,8,5,25,77,54,48,86,20,63
Canada,Iran,Men,Pool 4,0,3,"[21, 25, 18]",40,3,4,17,64,28,62,80,29,77
Iran,Canada,Men,Pool 4,3,3,"[25, 27, 25]",40,4,4,29,77,23,44,63,17,64
Italy,Slovenia,Men,Pool 3,3,3,"[25, 25, 25]",49,5,6,15,75,46,48,88,19,56
Slovenia,Italy,Men,Pool 3,0,3,"[19, 16, 21]",33,4,0,19,56,46,60,73,15,75
Poland,Australia,Men,Pool 4,3,3,"[25, 25, 25]",45,5,4,21,75,26,44,76,18,50
Australia,Poland,Men,Pool 4,0,3,"[17, 19, 14]",27,4,1,18,50,21,65,81,21,75
United States,Bulgaria,Men,Pool 4,3,4,"[25, 20, 26, 25]",55,7,8,26,96,44,69,90,26,84
Bulgaria,United States,Men,Pool 4,1,4,"[12, 25, 24, 23]",47,5,6,26,84,22,77,101,26,96
